review,stemmed_review,final_login_verifikasi,final_efisiensi,final_layanan_pengguna,final_responsivitas
"okk mulai sekarang pake aplikasi ini karna gampang banget dehh buat digunainnya trus jugaa stepnya mudah dimengertii😍 ini sih yang para pekerja butuhkan buat bikin ttd eletronik jadinya worth to try bangeet guys buat kaliann yang bingung kalo mau bikin ttd digital, aplikasi ini solusinyaa👍","['okk', 'pakai', 'gampang', 'banget', 'deh', 'digunainnya', 'step', 'mudah', 'erti', 'sih', 'kerja', 'butuh', 'bikin', 'ttd', 'eletronik', 'worth', 'try', 'banget', 'guys', 'bingung', 'kalo', 'bikin', 'ttd', 'digital', 'solusinyaa']",0,2,0,0
"Keperluan surat menyurat jadi gampang, ttd digitan sampai e-materai ada di sini. Mantep","['perlu', 'surat', 'surat', 'gampang', 'ttd', 'digit', 'ematerai', 'mantap']",0,2,0,0
Bagus banget aplikasinya 🤩 pake Privy jadi ga bingung lagi masalah tanda tangan online bisa jadi lebih mudah,"['bagus', 'banget', 'aplikasi', 'pakai', 'bingung', 'tanda', 'tangan', 'online', 'mudah']",0,2,0,0
"Buat kalian yg mau bikin ttd digital atau yang perlu e-materai buat daftar pegawai, boleh bgt dicoba aplikasinya. Pakenya gampang, ga perlu ribet ke website","['bikin', 'ttd', 'digital', 'ematerai', 'daftar', 'pegawai', 'banget', 'coba', 'aplikasi', 'pakenya', 'gampang', 'ribet', 'website']",0,2,0,0
buat yang bingung cari kerja/mau kuliah dan butuh tanda tangan online tanpa ribet mending download aplikasi ini aja recommended banget biar ga ribet,"['bingung', 'cari', 'kerjamau', 'kuliah', 'butuh', 'tanda', 'tangan', 'online', 'ribet', 'mending', 'download', 'recommended', 'banget', 'biar', 'ribet']",0,2,0,0
jujurr eazy to use bangett apalagi buat pemula ini tu gampang banget digunainn,"['jujurr', 'eazy', 'use', 'banget', 'mula', 'gampang', 'banget', 'digunainn']",0,2,0,0
"Untung ada privy kalau butuh tanda tangan digital atau e-materai itu tinggal kesini aja, bener bener dipermudah banget.. puas banget sama aplikasi ini👍","['untung', 'butuh', 'tanda', 'tangan', 'digital', 'ematerai', 'tinggal', 'kesini', 'mudah', 'banget', 'puas', 'banget']",0,2,0,0
"Bikin ttd elektronik mudah banget pakai aplikasi ini, g ribet lagi. Buat beli materai juga gampang banget prosesnya step by step. Mempermudah banget deh","['bikin', 'ttd', 'elektronik', 'mudah', 'banget', 'pakai', 'ribet', 'beli', 'materai', 'gampang', 'banget', 'proses', 'step', 'by', 'step', 'mudah', 'banget', 'deh']",0,2,0,0
Apa an nih nga bisa veryfikasi mentok d situ Kamera nga muncul appsnya berat,"['an', 'nih', 'veryfikasi', 'mentok', 'situ', 'kamera', 'muncul', 'appsnya', 'berat']",1,0,0,1
"Verifikasi Liveness nya susah... saya coba hampir setengah jam gak berhasil juga, sampai saya mengangguk anguk seperti burung pun belum berhasil juga","['verifikasi', 'liveness', 'nya', 'susah', 'coba', 'jam', 'hasil', 'angguk', 'anguk', 'burung', 'hasil']",1,0,0,0
"Jadi makin simple nih, memudahkan kita buat ngasih ttd digital. Coba deh 👍🏻","['simple', 'nih', 'mudah', 'asih', 'ttd', 'digital', 'coba', 'deh']",0,2,0,0
"Bikin ttd buat ditempel ke dokumen jadi cepet dan gampang banget, satset2","['bikin', 'ttd', 'tempel', 'dokumen', 'cepat', 'gampang', 'banget', 'satset']",0,2,0,0
"tanda tangan elektrik jadi lebih mudah semenjak pake aplikasi ini, thankyouu","['tanda', 'tangan', 'elektrik', 'mudah', 'semenjak', 'pakai', 'thankyouu']",0,2,0,0
"so far puas banget pake app privy, kalo lagi butuh ttd dokumen cepet tinggal buka app ini😆","['sok', 'far', 'puas', 'banget', 'pakai', 'app', 'kalo', 'butuh', 'ttd', 'dokumen', 'cepat', 'tinggal', 'buka', 'app']",0,2,0,0
"Mempermudah banget apknya, aku mau bikin ttd digital ga pake ribet langsung jadi ✨","['mudah', 'banget', 'apknya', 'bikin', 'ttd', 'digital', 'pakai', 'ribet', 'langsung']",0,2,0,0
"very bad in enterprise account features, and very lack in helpdesk support solution, but in personal, so far so good","['very', 'bad', 'enterprise', 'account', 'features', 'and', 'very', 'lack', 'helpdesk', 'support', 'solution', 'but', 'personal', 'sok', 'far', 'sok', 'good']",0,1,1,0
"Ga bikin ribet , lebih simple pake apk ini sat set","['bikin', 'ribet', 'simple', 'pakai', 'apk', 'sat', 'set']",0,2,0,0
"ini nihh yang aku rasain sebagai pekerja, biar lebih mudah lagi dalam penandatanganan elektronik yang sah","['nih', 'rasai', 'kerja', 'biar', 'mudah', 'penandatanganan', 'elektronik', 'sah']",0,2,0,0
worth to try bangett buat kalian yang bingung kalau mau pakai ttd digital . pakai aplikasi ini solusinya . sat set banget deh pokoknya,"['worth', 'try', 'banget', 'bingung', 'pakai', 'ttd', 'digital', 'pakai', 'solusi', 'sat', 'set', 'banget', 'deh', 'pokok']",0,2,0,0
"worth it bangett buat kaliann yang bingung kalo mau bikin ttd digital, aplikasi ini solusinyaa gaess👍","['worth', 'banget', 'bingung', 'kalo', 'bikin', 'ttd', 'digital', 'solusinyaa', 'gaess']",0,2,0,0
"sangat membantu banget nih privy pas butuh tanda tangan digital di atas e-materai, jadi lebih mudah, thanks privy","['bantu', 'banget', 'nih', 'pas', 'butuh', 'tanda', 'tangan', 'digital', 'ematerai', 'mudah', 'thanks']",0,2,0,0
"Recomended banget nih Privy kalo butuh e materai, mudah digunakan juga.👍","['recomended', 'banget', 'nih', 'kalo', 'butuh', 'e', 'materai', 'mudah']",0,2,0,0
"worth banget si, good gaada lag atau bug waktu pemakaian 👍","['worth', 'banget', 'sih', 'good', 'enggak ada', 'lag', 'bug', 'pakai']",0,2,0,2
Ribet bngt mau akses aja harus instal apps,"['ribet', 'banget', 'akses', 'instal', 'apps']",0,1,0,0
buat yang lagi mau kerja lewat online dan perlu tanda tangan online cobain nih aplikasi Privy recommended banget buat bikin tanda tangan online,"['kerja', 'online', 'tanda', 'tangan', 'online', 'coba', 'nih', 'recommended', 'banget', 'bikin', 'tanda', 'tangan', 'online']",0,2,0,0
TANGGAL DARI GRAB BENER TAPI DI VIDA SALAH.!!! MAU DI BENERIN GAK BISA BISA... BIKIN RIBET ORANG.!! RIBET BENER GAK NGERTI MANFAATNYA APA.!!!,"['tanggal', 'grab', 'salah', 'benerin', 'bikin', 'ribet', 'orang', 'ribet', 'erti', 'manfaat']",0,1,0,0
apk sekeren ini sayang banget baru tauu harusnya dari kemaren kemaren bisa make apk ttd digital,"['apk', 'keren', 'sayang', 'banget', 'tau', 'kemarin', 'kemarin', 'pakai', 'apk', 'ttd', 'digital']",0,2,0,0
"good app, very easy to use.. recommended!! Jadi mudah deh tiap kali ada keperluan. No ribet rubet","['good', 'app', 'very', 'easy', 'use', 'recommended', 'mudah', 'deh', 'kali', 'perlu', 'no', 'ribet', 'rubet']",0,2,0,0
Aplikasi yg sangat rekomended untuk membuat ttd digital,"['rekomended', 'ttd', 'digital']",0,2,0,0
"Very good and helpfull apps, recomended!","['very', 'good', 'and', 'helpfull', 'apps', 'recomended']",0,2,0,0
Apk tanda tangan yg ok,"['apk', 'tanda', 'tangan', 'ok']",0,2,0,0
Mudah dan aman dan terpercaya,"['mudah', 'aman', 'percaya']",0,2,0,0
"5/5 lah udah pasti, karena ga ribet tinggal login, klik kebutuhan, upload dokumen, beresss","['ribet', 'tinggal', 'login', 'klik', 'butuh', 'upload', 'dokumen', 'beresss']",2,2,0,0
keren abis sih,"['keren', 'habis', 'sih']",0,2,0,0
Mantap banget sih aplikasi ini bener-bener mempermudah pembisnis banget buat bikin ttd digital,"['mantap', 'banget', 'sih', 'benerbener', 'mudah', 'bisnis', 'banget', 'bikin', 'ttd', 'digital']",0,2,0,0
semenjak ada apk ini tuh jadi lebih mudah buat ttd digital. kmrn aku buat sertif dan itu bingung banget harus scan dibbrp dosen akhirnya jadi ribett. intinya aplikasi ini ngebantu bngett 😭,"['semenjak', 'apk', 'tuh', 'mudah', 'ttd', 'digital', 'kemarin', 'sertif', 'bingung', 'banget', 'scan', 'dibbrp', 'dosen', 'ribett', 'inti', 'bantu', 'banget']",0,2,0,0
"good app!! verry easy to use,, i like this👍🏻","['good', 'app', 'verry', 'easy', 'use', 'i', 'like', 'this']",0,2,0,0
"aplikasinya bagus, sangat mudah digunakani. bintang 5 dehhh","['aplikasi', 'bagus', 'mudah', 'digunakani', 'bintang', 'deh']",0,2,0,0
"apk ini gampang banget di gunakan nyaa, bisa buat tanda tangan","['apk', 'gampang', 'banget', 'nya', 'tanda', 'tangan']",0,2,0,0
"Aplikasi bagus, sangat mudah digunakan. Aplikasi yg aku cari selama ini.. 👍🏻","['bagus', 'mudah', 'cari']",0,2,0,0
Adminnya lama lelet banget,"['adminnya', 'lelet', 'banget']",0,0,1,0
"Sudah upload dokumen dan sudah ditanda tangan, tapi pas mau download dokumen gak bisa malah loading aja muter-muter mulu. Di tungguin sampe hampir setengah jam masih tetep aja gak bisa download dokumennya.. Mohon dong diperbaiki lagi supaya mudah dan bisa mendownload dukumen yang sudah selesai ditanda tangan.","['upload', 'dokumen', 'tanda', 'tangan', 'pas', 'download', 'dokumen', 'loading', 'mutermuter', 'mulu', 'tungguin', 'jam', 'download', 'dokumen', 'mohon', 'baik', 'mudah', 'mendownload', 'dukumen', 'selesai', 'tanda', 'tangan']",0,0,0,1
"Pake Privy penggunaannya mudah bisa ttd dimanapun sat set langsung jadi, bisa sekalian beli e-materai juga disini keren","['pakai', 'guna', 'mudah', 'ttd', 'mana', 'sat', 'set', 'langsung', 'beli', 'ematerai', 'keren']",0,2,0,0
Aplikasi nya bagus bangettt sangat bermanfa'at dan bisa di andalkan,"['nya', 'bagus', 'banget', 'manfaat', 'andal']",0,2,0,0
"Aplikasi tanda tangan digital terbaik yang pernah saya coba! Prosesnya cepat, aman, dan mudah digunakan. Fitur kolaborasinya juga sangat membantu dalam bekerja sama dengan tim. Sangat merekomendasikan!!","['tanda', 'tangan', 'digital', 'baik', 'coba', 'proses', 'cepat', 'aman', 'mudah', 'fitur', 'kolaborasi', 'bantu', 'tim', 'rekomendasi']",0,2,0,0
"Saya tidak bisa menemukan akun saya, minta dibantu","['temu', 'akun', 'bantu']",1,0,0,0
"sangat membantu buat para pekerja yg sering make ttd digital, simple dan mudah digunakan, recomended pokoknya 👍🏻🙌🏻","['bantu', 'kerja', 'pakai', 'ttd', 'digital', 'simple', 'mudah', 'recomended', 'pokok']",0,2,0,0
aplikasi Privy cocok banget buat pebisnis yang bisa bikin ttd digital dimanapun dan bisa juga buat tanda tangan dokumen. Mantap rekomendasi,"['cocok', 'banget', 'bisnis', 'bikin', 'ttd', 'digital', 'mana', 'tanda', 'tangan', 'dokumen', 'mantap', 'rekomendasi']",0,2,0,0
"Aplikasi ini bikin urusan admin jadi gampang banget, bisa beli e-meterai dan ttd elektronik langsung, cepet, aman, dan anti ribet!","['bikin', 'urus', 'admin', 'gampang', 'banget', 'beli', 'emeterai', 'ttd', 'elektronik', 'langsung', 'cepat', 'aman', 'anti', 'ribet']",0,2,0,0
Apikasi nya membantu aku banget buat tanda tangan dokumen online huhu trusted poll disini,"['apikasi', 'nya', 'bantu', 'banget', 'tanda', 'tangan', 'dokumen', 'online', 'huhu', 'trusted', 'poll']",0,2,0,0
"inisih yang dibutuhkan para pekerja, apalagi yang kerjanya menggunakan tanda tangan elektronik. dengan langkah-langkah yang jelas dan mudah dipahami apalagi untuk pemula.. sukses selalu privy👍","['inisih', 'butuh', 'kerja', 'kerja', 'tanda', 'tangan', 'elektronik', 'langkahlangkah', 'mudah', 'paham', 'mula', 'sukses']",0,2,0,0
"Aplikasinya membantu sekali, langkah-langkahnya mudah dimengerti, simple dan gak ribet. Good app","['aplikasi', 'bantu', 'langkahlangkahnya', 'mudah', 'erti', 'simple', 'ribet', 'good', 'app']",0,2,0,0
"worth to try dehhh, memudahkan aku banget senengg😫☝🏻✨","['worth', 'try', 'deh', 'mudah', 'banget', 'senang']",0,2,0,0
aplikasi membantu bangettt🫶,"['bantu', 'banget']",0,2,0,0
"Sangat membantu aku, good app, u must try guys","['bantu', 'good', 'app', 'lu', 'must', 'try', 'guys']",0,2,0,0
ternyata gampang banget dan sangat-sangat membantu buat ttd digital. keep up the good work.,"['gampang', 'banget', 'sangatsangat', 'bantu', 'ttd', 'digital', 'keep', 'up', 'the', 'good', 'work']",0,2,0,0
"aplikasinya simpel dan mudah di pake, sangat membantu sekali ttd dokumen penting dalam waktu singkat, terimakasih 👍","['aplikasi', 'simpel', 'mudah', 'pakai', 'bantu', 'ttd', 'dokumen', 'singkat', 'terimakasih']",0,2,0,0
mantap bgt kalo mau buat ttd digitall disini aja wothit,"['mantap', 'banget', 'kalo', 'ttd', 'digitall', 'wothit']",0,2,0,0
"Aplikasi ini sangat mempermudah keperluan administrasi dan juga untuk ttd dokumen juga lebih cepat pakai aplikasi ini, mantap terbaik pokoknya","['mudah', 'perlu', 'administrasi', 'ttd', 'dokumen', 'cepat', 'pakai', 'mantap', 'baik', 'pokok']",0,2,0,0
"Manntappp deh aplikasinyaaa,bermanafaat bgttt kalo mau bikin ttd digital","['manntappp', 'deh', 'aplikasinyaaabermanafaat', 'banget', 'kalo', 'bikin', 'ttd', 'digital']",0,2,0,0
"Aplikasi yg sangat bagus untuk pekerja, mudah dan sangat praktis","['bagus', 'kerja', 'mudah', 'praktis']",0,2,0,0
yang dibutuhkan buat aku sih hahah keren banget aplikasinya!,"['butuh', 'sih', 'hahah', 'keren', 'banget', 'aplikasi']",0,2,0,0
"butuh bgt apk ini buat bikin ttd eletronik, cara gunainnya gampang bgt","['butuh', 'banget', 'apk', 'bikin', 'ttd', 'eletronik', 'gunainnya', 'gampang', 'banget']",0,2,0,0
"Solusi praktis buat tanda tangan elektronik dan beli e-materai. Gampang dipakai, nggak ribet, dan cocok banget buat yang sering urus administrasi. Buat yang masih bingung soal tanda tangan digital, Privy jawabannya! Worth it banget! ⭐⭐⭐⭐⭐","['solusi', 'praktis', 'tanda', 'tangan', 'elektronik', 'beli', 'ematerai', 'gampang', 'pakai', 'ribet', 'cocok', 'banget', 'urus', 'administrasi', 'bingung', 'tanda', 'tangan', 'digital', 'jawab', 'worth', 'banget']",0,2,0,0
"Aplikasi membantu banget buat yang mau bikin ttd digital, mau beli e materai juga bisa disini, mudah digunakan juga aplikasinya","['bantu', 'banget', 'bikin', 'ttd', 'digital', 'beli', 'e', 'materai', 'mudah', 'aplikasi']",0,2,0,0
capek kan tiap ada dokumen penting harus tanda tangan manual ?! aku download privy dan gak nyesel karena memudahkan kerjaan aku.. Remomended !!!,"['capek', 'dokumen', 'tanda', 'tangan', 'manual', 'download', 'sesal', 'mudah', 'kerja', 'remomended']",0,2,0,0
mempermudah dalam proses meminta tanda tangan,"['mudah', 'proses', 'tanda', 'tangan']",0,2,0,0
Aplikasinya sangat mudah digunakan dan membantu,"['aplikasi', 'mudah', 'bantu']",0,2,0,0
"gampang banget bisa bikin ttd digital pake aplikasi ini, gk perlu ribet2 lg kalau butuh tanda tangan digital, bintang 5 si privy","['gampang', 'banget', 'bikin', 'ttd', 'digital', 'pakai', 'ribet', 'butuh', 'tanda', 'tangan', 'digital', 'bintang', 'sih']",0,2,0,0
aplikasinya baguss bangett dan mudah digunakan.,"['aplikasi', 'bagus', 'banget', 'mudah']",0,2,0,0
"karena sekarang sudah masuk era digital jadi aku download aplikasi ini, so far puas banget pake app privy, kalo lagi butuh ttd dokumen cepet tinggal buka app ini","['masuk', 'era', 'digital', 'download', 'sok', 'far', 'puas', 'banget', 'pakai', 'app', 'kalo', 'butuh', 'ttd', 'dokumen', 'cepat', 'tinggal', 'buka', 'app']",0,2,0,0
"bikin ttd digital jadi lebih gampang buat dokumen yg perlu ttd digital, mempermudah urusan dan stepnya mudah dimengerti 👍🏻","['bikin', 'ttd', 'digital', 'gampang', 'dokumen', 'ttd', 'digital', 'mudah', 'urus', 'step', 'mudah', 'erti']",0,2,0,0
Aplikasi ini memang the best sih bisa beli e-materai bisa juga bisa bikin ttd digital dan pemakaian nya mudah banget,"['the', 'best', 'sih', 'beli', 'ematerai', 'bikin', 'ttd', 'digital', 'pakai', 'nya', 'mudah', 'banget']",0,2,0,0
Sangat gampang penggunaannya dan membantu sekali,"['gampang', 'guna', 'bantu']",0,2,0,0
"gampang banget pake aplikasinya trus bener"" mempermudah bisnis, the best siii","['gampang', 'banget', 'pakai', 'aplikasi', 'mudah', 'bisnis', 'the', 'best', 'siii']",0,2,0,0
Demi apaaa kerennn banget aplikasinya cuy cocok buat kita yg kerjanya dikit dikit kudu tanda tangan terus kirim berkas dan semua serba online 👍🏻,"['keren', 'banget', 'aplikasi', 'cuy', 'cocok', 'kerja', 'dikit', 'dikit', 'kudu', 'tanda', 'tangan', 'kirim', 'berkas', 'serba', 'online']",0,2,0,0
"Keren banget, aplikasi nya sangat berguna dan simple ga ribet. Rekomendasi bgt nih","['keren', 'banget', 'nya', 'guna', 'simple', 'ribet', 'rekomendasi', 'banget', 'nih']",0,2,0,0
memudahkan banget untuk daftar daftar kerjaan atau administrasi,"['mudah', 'banget', 'daftar', 'daftar', 'kerja', 'administrasi']",0,2,0,0
"Bisa beli materai disini, bisa buat tanda tangan dokumenn, udah tersertifikasi juga, trusted 👍 very easy to use dan pastinya recommended!! urusan administrasi jd lebih simple👍","['beli', 'materai', 'tanda', 'tangan', 'dokumenn', 'sertifikasi', 'trusted', 'very', 'easy', 'use', 'pasti', 'recommended', 'urus', 'administrasi', 'simple']",0,2,0,0
"Betul, tanda tangan elektronik memang sangat membantu dalam mempermudah pekerjaan, terutama dalam hal efisiensi dan keamanan. Dengan adanya layanan seperti Privy, proses yang dulunya manual bisa jadi lebih cepat dan praktis.","['tanda', 'tangan', 'elektronik', 'bantu', 'mudah', 'kerja', 'efisiensi', 'aman', 'layan', 'proses', 'dulunya', 'manual', 'cepat', 'praktis']",0,2,0,0
"Verifikasi wajahnya tolong diperbaiki lgi, soalnya cahaya udah terang, udah pas tpi msih aja deteksi livenessnya gagall","['verifikasi', 'wajah', 'tolong', 'baik', 'cahaya', 'terang', 'pas', 'deteksi', 'livenessnya', 'gagall']",1,0,0,0
Nah ini aplikasi yg aku cari-cari dimana bisa di gunakan untuk TTD online /digital,"['caricari', 'mana', 'ttd', 'online', 'digital']",0,2,0,0
Aplikasi gak guna,[],0,1,0,0
"App nya bagus, simple, gaj susah buat ttd dokumen, cepet bangeet","['app', 'nya', 'bagus', 'simple', 'gaj', 'susah', 'ttd', 'dokumen', 'cepat', 'banget']",0,2,0,0
"ni aplikasi sangat memudahkan di era digital sekarang, apalagi buat para pekerja yg butuh tanda tangan digital. mantap banget privy!!!","['nih', 'mudah', 'era', 'digital', 'kerja', 'butuh', 'tanda', 'tangan', 'digital', 'mantap', 'banget']",0,2,0,0
Sekarang kalau mau ttd kontrak kerja gaperlu ribet lagi soalnya udah ada aplikasi privy ini yang bisa buat ttd digital untuk kontrak kerja,"['ttd', 'kontrak', 'kerja', 'gaperlu', 'ribet', 'ttd', 'digital', 'kontrak', 'kerja']",0,2,0,0
