review,stemmed_review,login_verifikasi_1,login_verifikasi_2,login_verifikasi_3,final_login_verifikasi,efisiensi_1,efisiensi_2,efisiensi_3,final_efisiensi,layanan_pengguna_1,layanan_pengguna_2,layanan_pengguna_3,final_layanan_pengguna,responsivitas_1,responsivitas_2,responsivitas_3,final_responsivitas
"Jadi berbayar, gabisa upload dokumen & pakai materai yg sebelumnya dibeli","['bayar', 'enggak bisa', 'upload', 'dokumen', 'pakai', 'materai', 'beli']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Lemot, loading, error, tdk bisa sign","['lot', 'loading', 'error', 'sign']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Apk berguna dan simple,"['apk', 'guna', 'simple']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi GaJe, banyak bug","['enggak jelas', 'bug']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Barusan udah bayar topup ematerai, tapi belum muncul ematerainya di aplikasi, padahal lagi dibutuhkan.","['barusan', 'bayar', 'topup', 'ematerai', 'muncul', 'ematerainya', 'butuh']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Too much error in this app and help center is not helping,"['too', 'much', 'error', 'this', 'app', 'and', 'help', 'center', 'is', 'not', 'helping']",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"Aplikasi konyol, buat akun untuk perusahaan malah dipersulit. Apalagi mau dipake buat Inaproc. Review bagus di aplikasi ini jangan2 dari buzzer ya ? Kalo bobrok bobrok aja !!!","['konyol', 'akun', 'usaha', 'sulit', 'pakai', 'inaproc', 'review', 'bagus', 'buzzer', 'ya', 'kalo', 'bobrok', 'bobrok']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Materi sangat berguna,"['materi', 'guna']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat membantu dalam proses pinjaman sy,"['bantu', 'proses', 'pinjam']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi busuk, kendalan terus tp penilaiannya bagus. Jadi tanda tanya bgt pasti buzzer! Benerin tuh aplikasi jangan malah bikin film Marshall!","['busuk', 'kendal', 'nilai', 'bagus', 'tanda', 'banget', 'buzzer', 'benerin', 'tuh', 'bikin', 'film', 'marshall']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Baru beli e-materai tp tidak bs di pakai,"['beli', 'ematerai', 'pakai']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Memudahkan urusan tanda tangan pekerjaan,"['mudah', 'urus', 'tanda', 'tangan', 'kerja']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Sudah bisa tandatangan digital dengan mudah dan simpel cara penggunaanya., terima kasih.","['tandatangan', 'digital', 'mudah', 'simpel', 'penggunaanya', 'terima', 'kasih']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Pelayanan yang buruk,"['layan', 'buruk']",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Makasih udh bisa kebuka aplikasinya,"['terima kasih', 'buka', 'aplikasi']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Sulit sangat sulit verifikasi. Data udah sesuai dengan capil. Tapi dibilang aplikasi data tidak sesuai. Aneh.,"['sulit', 'sulit', 'verifikasi', 'data', 'sesuai', 'capil', 'bilang', 'data', 'sesuai', 'aneh']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"yang lagi cari aplikasi yang bisa bantu buat ttd digital, ya privy ini solusinya. Gampang kok langkah-langkahnya","['cari', 'bantu', 'ttd', 'digital', 'ya', 'solusi', 'gampang', 'langkahlangkahnya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Keren ini apk,"['keren', 'apk']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Mantapp bangett applikasi ini sangat memudahkan untuk aku yang sering ada job yang pakai ttd online 💗💗💗,"['mantap', 'banget', 'mudah', 'job', 'pakai', 'ttd', 'online']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Wahh privy makin berkembang yaaa seneng dehh sebelumnya tau Privy dari website, sekarang ada versi aplikasinya gas langsung coba dan ternyata sama sama satset kayak di website kerennnn sukses terus privy","['kembang', 'ya', 'senang', 'deh', 'tau', 'website', 'versi', 'aplikasi', 'gas', 'langsung', 'coba', 'satset', 'kayak', 'website', 'keren', 'sukses']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Rekomen deh buat kalian yang ngk mau ribet end ingin satset pake apk ini aj tanda tangan oke, e materai juga oke pokoknya terbaek dah","['rekomen', 'deh', 'ribet', 'end', 'satset', 'pakai', 'apk', 'tanda', 'tangan', 'oke', 'e', 'materai', 'oke', 'pokok', 'terbaek', 'deh']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Aplikasi tanda tangan digital apalagi sekarang dilengkapi dengan materai digital jadi sangat memudahkan kami para jobseeker saat ingin melamar pekerjaan dan aplikasi perbankan,"['tanda', 'tangan', 'digital', 'lengkap', 'materai', 'digital', 'mudah', 'jobseeker', 'lamar', 'kerja', 'perban']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"So far aku sih puas banget pake app privy ini, kau tandatangan digital jadi satset ga pake lama 🫶","['sok', 'far', 'sih', 'puas', 'banget', 'pakai', 'app', 'kau', 'tandatangan', 'digital', 'satset', 'pakai']",0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0
"Aplikasi nya ribet banyak persyaratan nya,mau daftar untuk buat nya dibikin susah,bikin kecewa aja,pake KTP juga ini Apk ttd apa PINJOLL SIH","['nya', 'ribet', 'syarat', 'nyamau', 'daftar', 'nya', 'bikin', 'susahbikin', 'kecewa', 'ajapake', 'ktp', 'apk', 'ttd', 'pinjoll', 'sih']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Weh aplikasi bangke... Kenapa mesti kluar trus harus login mulu sih masih mending klo inget id sama password klo lupa jadi ribet uy...,"['weh', 'bangkai', 'mesti', 'login', 'mulu', 'sih', 'mending', 'kalo', 'id', 'password', 'kalo', 'lupa', 'ribet', 'uy']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bintang 2 dulu... disuruh verifikasi wajah lama banget..ga bisa2 .. gagal2 terus.. padahal sudah memenuhi syarat,"['bintang', 'suruh', 'verifikasi', 'wajah', 'bangetga', 'gagal', 'penuh', 'syarat']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"pas pendaftaran cpns kemaren, aku pake e-materai dari privy gampang banget stempel nya. Apknya nggak down lagi","['pas', 'daftar', 'cpns', 'kemarin', 'pakai', 'ematerai', 'gampang', 'banget', 'stempel', 'nya', 'apknya', 'down']",0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2
"Aplikasi nya membantu bangett, yang biasanya bikin di website sekarang jadi lebih gampang pake aplikasi inii. Aplikasi nya gampang dipahamin ga ribet sama sekali","['nya', 'bantu', 'banget', 'bikin', 'website', 'gampang', 'pakai', 'nya', 'gampang', 'dipahamin', 'ribet']",0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0
"aplikasinya bener-bener mempermudah banget buat yang gamau ribet, tiap butuh bikin ttd digital dimanapun, kapanpun good job banget pokoknya","['aplikasi', 'benerbener', 'mudah', 'banget', 'enggak mau', 'ribet', 'butuh', 'bikin', 'ttd', 'digital', 'mana', 'good', 'job', 'banget', 'pokok']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Terbaik sih pake aplikasi ini jadi mudah buat ttd elektronik 🥰😍👍🏻,"['baik', 'sih', 'pakai', 'mudah', 'ttd', 'elektronik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat mudah digunakan.. sukses terus,"['mudah', 'sukses']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Kont.. mau ttd dok hrus aktifin prvy personal dan mai aktifin gabisa.. respon cs jga buruk. Kon,"['kont', 'ttd', 'dok', 'aktifin', 'prvy', 'personal', 'aktifin', 'enggak bisa', 'respon', 'cs', 'buruk', 'kon']",0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1
"bintang 5 ⭐️⭐️⭐️⭐️⭐️ aplikasi bintang 5 ⭐️⭐️⭐️⭐️⭐️ aplikasi privy nya, ngebantu banget buat yg mau ttd online sangat di permudah. aplikasinya juga kecil","['bintang', 'bintang', 'nya', 'bantu', 'banget', 'ttd', 'online', 'mudah', 'aplikasi']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Recommended banget nih aplikasi, ini ngebantu banget buat beli e materai dan TTD elektronik, aplikasi nya jugaa anti lemot sat set banget, bintang 5 deh","['recommended', 'banget', 'nih', 'bantu', 'banget', 'beli', 'e', 'materai', 'ttd', 'elektronik', 'nya', 'anti', 'lot', 'sat', 'set', 'banget', 'bintang', 'deh']",0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2
"apk ini bagusss, worth it bgt buat para worker dan bisa memudahkan buat tanda tangan jugaa, jdi ga ribet dehh. mana bisa beli materai jga dsini, trusted pokoknyaa","['apk', 'bagus', 'worth', 'banget', 'worker', 'mudah', 'tanda', 'tangan', 'ribet', 'deh', 'beli', 'materai', 'trusted', 'pokoknyaa']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Eh beneran keren nih mantap punya nih apalagi cepet banget ttd dokumen gak pake lemot,"['eh', 'benar', 'keren', 'nih', 'mantap', 'nih', 'cepat', 'banget', 'ttd', 'dokumen', 'pakai', 'lot']",0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2
"Aplikasi yang sangat bagus,memudahkan berbagai aktivitas","['bagusmemudahkan', 'aktivitas']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Worth it buat keperluan administrasi atau ttd digital. Aplikasinya juga untuk digunakan. Recommend pokoknya..! 🙌😃,"['worth', 'perlu', 'administrasi', 'ttd', 'digital', 'aplikasi', 'recommend', 'pokok']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasinya gampang banget digunain sih, untuk orang awampun pasti ngerti dan mudah banget lah gunainnya.. privy emang best 🔥","['aplikasi', 'gampang', 'banget', 'digunain', 'sih', 'orang', 'awam', 'erti', 'mudah', 'banget', 'gunainnya', 'best']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Habis di update ko gabisa akses si😭 harus gimna ya kira²?,"['habis', 'update', 'enggak bisa', 'akses', 'sih', 'ya']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Privy sangat memudahkan saya untuk proses tanda tangan digital dan pembelian e-materai, langkah-langkahnya sederhana + cepat, cocok untuk kebutuhan administrasi harian. Dah gitu keamanan terjamin dan fitur yang lengkap, benar-benar aplikasi terbaik😇","['mudah', 'proses', 'tanda', 'tangan', 'digital', 'beli', 'ematerai', 'langkahlangkahnya', 'sederhana', 'cepat', 'cocok', 'butuh', 'administrasi', 'hari', 'deh', 'aman', 'jamin', 'fitur', 'lengkap', 'benarbenar', 'baik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"bener bener sangat bermanfaat banget, worth to try karena memudahkan buat ttd","['manfaat', 'banget', 'worth', 'try', 'mudah', 'ttd']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Makasih pake bangettttt soalnya membantu sekali, suka deh🫰","['terima kasih', 'pakai', 'banget', 'bantu', 'suka', 'deh']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
good app!! jadi mudah deh tiap ada urusan administrasi kantor mantap👍,"['good', 'app', 'mudah', 'deh', 'urus', 'administrasi', 'kantor', 'mantap']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
bagus banget privy mempermudah bgt buat aku yg butuh ttd digital🤩udah pernah aku pakai untuk daftar cpns guys worth it!!,"['bagus', 'banget', 'mudah', 'banget', 'butuh', 'ttd', 'digitaludah', 'pakai', 'daftar', 'cpns', 'guys', 'worth']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"keren banget dan gak ribet, 10/10!","['keren', 'banget', 'ribet']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Memudahkan dalam mengurus kontrak...Josss lahhh,"['mudah', 'urus', 'kontrakjosss']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Jelas kasih bintang ⭐⭐⭐⭐⭐, aplikasi nya mudah banget di gunain, g ribet lagi. Pokoknya ttd digital jadi sesimpel ini pakai Privy","['kasih', 'bintang', 'nya', 'mudah', 'banget', 'gunain', 'ribet', 'pokok', 'ttd', 'digital', 'simpel', 'pakai']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat bagus dan membantu,"['bagus', 'bantu']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Terimakasih, aplikasi sudah bisa download dokumen","['terimakasih', 'download', 'dokumen']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
kok apk nya susah banget dibukanya,"['apk', 'nya', 'susah', 'banget', 'buka']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Jadi terbantu pastinya buat berkas ini itu jd lebih sat set cepet kelar,"['bantu', 'pasti', 'berkas', 'sat', 'set', 'cepat', 'kelar']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"akhirnyaaaa dapet apk bagus buat TTD elektronik, pokoknya recommended bgtt sihhh apknya iniii","['akhirnyaaaa', 'apk', 'bagus', 'ttd', 'elektronik', 'pokok', 'recommended', 'banget', 'sih', 'apknya']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
guyss hear me out ini apk emg bagus bgt dan worth to try bagi kalian yg pengen bkin ttd digital...sgt sgt recommended guyss!!,"['guyss', 'hear', 'me', 'out', 'apk', 'bagus', 'banget', 'worth', 'try', 'pengin', 'bikin', 'ttd', 'digitalsgt', 'recommended', 'guyss']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
good privy! aplikasinya sangat membantu buat keperluan administrasi beli e-materai dan buat ttd elektronik👍👍,"['good', 'aplikasi', 'bantu', 'perlu', 'administrasi', 'beli', 'ematerai', 'ttd', 'elektronik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Sukaa nih yg simpel² gini, solusi banget disaat butuh tanda tangan online dan deadline","['suka', 'nih', 'simpel', 'solusi', 'banget', 'saat', 'butuh', 'tanda', 'tangan', 'online', 'deadline']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Waoow . Sangat rekomen ttd digital jadi lebih mudah gak perlu ribet 🥰,"['waoow', 'rekomen', 'ttd', 'digital', 'mudah', 'ribet']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"aplikasi terbaikkkk 👍🏻👍🏻👍🏻 bisa buat beli materai, buat tanda tangan juga bisa aplikasi yang simpel gampang digunakan best pokoknya","['terbaikkkk', 'beli', 'materai', 'tanda', 'tangan', 'simpel', 'gampang', 'best', 'pokok']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Pake privy ttd elektronik semakin mudah, bener membantu banget, aplikasinya juga friendly banget, mudah dipahami, pokoknya oke punya😍","['pakai', 'ttd', 'elektronik', 'mudah', 'bantu', 'banget', 'aplikasi', 'friendly', 'banget', 'mudah', 'paham', 'pokok', 'oke']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
aplikasi yg penting banget buat ttd digital jadi bikin administrasi lebih mudah,"['banget', 'ttd', 'digital', 'bikin', 'administrasi', 'mudah']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasinya bagus, mempermudah utk ttd online","['aplikasi', 'bagus', 'mudah', 'ttd', 'online']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Akhirnya nemu aplikasi ini yg gampang buat ttd elektronik,"['nemu', 'gampang', 'ttd', 'elektronik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
sangat mudah digunakan & membuat urusan administrasi saya sebagai anak kantoran jadi lebih cepat kelar! kalo ada opsi ngasih bintang 100 mah bakal saya kasih! Puas pol,"['mudah', 'urus', 'administrasi', 'anak', 'kantor', 'cepat', 'kelar', 'kalo', 'opsi', 'asih', 'bintang', 'mah', 'kasih', 'puas', 'pol']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
prefer pakai aplikasi ini buat keperluan administrasi kyk beli e-materai dan buat ttd elektronik,"['prefer', 'pakai', 'perlu', 'administrasi', 'kayak', 'beli', 'ematerai', 'ttd', 'elektronik']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"okk mulai sekarang pake aplikasi ini karna gampang banget dehh buat digunainnya trus jugaa stepnya mudah dimengertii😍 ini sih yang para pekerja butuhkan buat bikin ttd eletronik jadinya worth to try bangeet guys buat kaliann yang bingung kalo mau bikin ttd digital, aplikasi ini solusinyaa👍","['okk', 'pakai', 'gampang', 'banget', 'deh', 'digunainnya', 'step', 'mudah', 'erti', 'sih', 'kerja', 'butuh', 'bikin', 'ttd', 'eletronik', 'worth', 'try', 'banget', 'guys', 'bingung', 'kalo', 'bikin', 'ttd', 'digital', 'solusinyaa']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"keren bgt aplikasinya, sangaat membantu goodjob🔥","['keren', 'banget', 'aplikasi', 'sangaat', 'bantu', 'goodjob']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Keperluan surat menyurat jadi gampang, ttd digitan sampai e-materai ada di sini. Mantep","['perlu', 'surat', 'surat', 'gampang', 'ttd', 'digit', 'ematerai', 'mantap']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Mempermudah sekaliii sukakkk😍 aku kasih bintang 5 ❤️,"['mudah', 'sekaliii', 'suka', 'kasih', 'bintang']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Bagus banget aplikasinya 🤩 pake Privy jadi ga bingung lagi masalah tanda tangan online bisa jadi lebih mudah,"['bagus', 'banget', 'aplikasi', 'pakai', 'bingung', 'tanda', 'tangan', 'online', 'mudah']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Wajib bintang 5 si mantep nih apk good joob,"['wajib', 'bintang', 'sih', 'mantap', 'nih', 'apk', 'good', 'joob']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Buat kalian yg mau bikin ttd digital atau yang perlu e-materai buat daftar pegawai, boleh bgt dicoba aplikasinya. Pakenya gampang, ga perlu ribet ke website","['bikin', 'ttd', 'digital', 'ematerai', 'daftar', 'pegawai', 'banget', 'coba', 'aplikasi', 'pakenya', 'gampang', 'ribet', 'website']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Privy benar benar memudahkan dan sangat kekinian.,"['mudah', 'kini']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
buat yang bingung cari kerja/mau kuliah dan butuh tanda tangan online tanpa ribet mending download aplikasi ini aja recommended banget biar ga ribet,"['bingung', 'cari', 'kerjamau', 'kuliah', 'butuh', 'tanda', 'tangan', 'online', 'ribet', 'mending', 'download', 'recommended', 'banget', 'biar', 'ribet']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi gak guna dan cuma bikin ribet, kalo gak dipaksa GRAB gak bakal verifikasi data via aplikasi sialan kayak begini. Kalo mau promo pake cara elegan dan sopan, bkn sistem paksa via aplikator OJOL.","['bikin', 'ribet', 'kalo', 'paksa', 'grab', 'verifikasi', 'data', 'via', 'sial', 'kayak', 'kalo', 'promo', 'pakai', 'elegan', 'sopan', 'sistem', 'paksa', 'via', 'aplikator', 'ojol']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
jujurr eazy to use bangett apalagi buat pemula ini tu gampang banget digunainn,"['jujurr', 'eazy', 'use', 'banget', 'mula', 'gampang', 'banget', 'digunainn']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Udah pake dari tahun lalu dan worth it bget buat gue yang serba digital. Kerjaan jadi sat set sat set beres!,"['pakai', 'worth', 'banget', 'gue', 'serba', 'digital', 'kerja', 'sat', 'set', 'sat', 'set', 'beres']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Untung ada privy kalau butuh tanda tangan digital atau e-materai itu tinggal kesini aja, bener bener dipermudah banget.. puas banget sama aplikasi ini👍","['untung', 'butuh', 'tanda', 'tangan', 'digital', 'ematerai', 'tinggal', 'kesini', 'mudah', 'banget', 'puas', 'banget']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Apk ini sangat membantu untuk melengkapi dokumen sangat memudahkan sekali terima kasih banyakk,"['apk', 'bantu', 'lengkap', 'dokumen', 'mudah', 'terima', 'kasih', 'banyakk']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Bikin ttd elektronik mudah banget pakai aplikasi ini, g ribet lagi. Buat beli materai juga gampang banget prosesnya step by step. Mempermudah banget deh","['bikin', 'ttd', 'elektronik', 'mudah', 'banget', 'pakai', 'ribet', 'beli', 'materai', 'gampang', 'banget', 'proses', 'step', 'by', 'step', 'mudah', 'banget', 'deh']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Simpel dan gak ribet,"['simpel', 'ribet']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
Mau ttd elektronik jadi sat sst gampang banget. Recomended,"['ttd', 'elektronik', 'sat', 'sst', 'gampang', 'banget', 'recomended']",0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2
"Tolong Lah di Bantu masa verifikasi Livenens nya kok Gagal melulu.... Perubahan pada wajah itu terjadi karena Pertumbuhan usia... Masa berpatokan pada Gambar Foto e-ktp.. Kumis,janggut dan perubahan pada wajah itu wajar.. Tolong lah jangan jadikan itu sebagai satu beban buat kita.kita hanya mau ttd kontrak dri perusahan yg di kirim melalu PrivyID...","['tolong', 'bantu', 'verifikasi', 'livenens', 'nya', 'gagal', 'melulu', 'ubah', 'wajah', 'tumbuh', 'usia', 'patok', 'gambar', 'foto', 'ektp', 'kumisjanggut', 'ubah', 'wajah', 'wajar', 'tolong', 'jadi', 'beban', 'kitakita', 'ttd', 'kontrak', 'usah', 'kirim', 'lalu']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Apa an nih nga bisa veryfikasi mentok d situ Kamera nga muncul appsnya berat,"['an', 'nih', 'veryfikasi', 'mentok', 'situ', 'kamera', 'muncul', 'appsnya', 'berat']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
"Verifikasi Liveness nya susah... saya coba hampir setengah jam gak berhasil juga, sampai saya mengangguk anguk seperti burung pun belum berhasil juga","['verifikasi', 'liveness', 'nya', 'susah', 'coba', 'jam', 'hasil', 'angguk', 'anguk', 'burung', 'hasil']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jadi makin simple nih, memudahkan kita buat ngasih ttd digital. Coba deh 👍🏻","['simple', 'nih', 'mudah', 'asih', 'ttd', 'digital', 'coba', 'deh']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Aplikasi nya berguna bgttt buat keperluan administrasi dll. Terus juga cara pakenya ga ribet sama sekalii gampang dimengerti, beruntung bangett bisa tau aplikasi ini😖🤍","['nya', 'guna', 'banget', 'perlu', 'administrasi', 'dll', 'pakenya', 'ribet', 'gampang', 'erti', 'untung', 'banget', 'tau']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Bikin ttd buat ditempel ke dokumen jadi cepet dan gampang banget, satset2","['bikin', 'ttd', 'tempel', 'dokumen', 'cepat', 'gampang', 'banget', 'satset']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0
Ttd online yg terbagus,"['ttd', 'online', 'bagus']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Buka aplikasi kayak buka pintu keamanan bank, berat banget, sumpah, padahal hp sudah memadai.","['buka', 'kayak', 'buka', 'pintu', 'aman', 'bank', 'berat', 'banget', 'sumpah', 'hp', 'pada']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"tanda tangan elektrik jadi lebih mudah semenjak pake aplikasi ini, thankyouu","['tanda', 'tangan', 'elektrik', 'mudah', 'semenjak', 'pakai', 'thankyouu']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
